Player,Position,Age,Team,Minutes,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,,,,,,,,,,
Nikola Jokic,C,25,DEN,1612,0.65,0.194,0.257,17.7,40,2.2,1.7,12.7,,,,,,,,,,
Joel Embiid,C,26,PHI,1010,0.65,0.161,0.634,19.3,17.4,1.7,3.7,12.2,,,,,,,,,,
Kawhi Leonard,SF,29,LAC,1308,0.625,0.276,0.332,10.2,23.1,2.6,1.2,8.1,,,,,,,,,,
Giannis Antetokounmpo,PF,26,MIL,1427,0.623,0.207,0.532,17.8,30.2,1.7,3.3,13.9,,,,,,,,,,
Rudy Gobert,C,28,UTA,1386,0.66,0.008,0.668,22.8,6,0.7,7.5,12.8,,,,,,,,,,
Jimmy Butler,SF,31,MIA,1040,0.584,0.131,0.538,13,37.4,2.9,1.1,11.2,,,,,,,,,,
Montrezl Harrell,C,27,LAL,1162,0.662,0.02,0.407,14.9,7.2,1.3,2.7,9.2,,,,,,,,,,
Ivica Zubac,C,23,LAC,985,0.694,0.012,0.477,19.3,7.5,1,3.9,14.6,,,,,,,,,,
Zion Williamson,PF,20,NOP,1412,0.666,0.033,0.528,12,18.5,1.3,2.1,11.5,,,,,,,,,,
Damian Lillard,PG,30,POR,1553,0.625,0.545,0.376,6.4,36.6,1.2,0.6,12,,,,,,,,,,
Joe Ingles,SF,33,UTA,1096,0.728,0.714,0.16,7.3,22.9,1.2,0.6,15.2,,,,,,,,,,
James Harden,PG-SG,31,TOT,1487,0.616,0.459,0.431,11.8,44.3,1.6,1.6,16.7,,,,,,,,,,
Chris Boucher,C,28,TOR,1053,0.646,0.405,0.351,14.9,6.6,1.1,8.4,6.2,,,,,,,,,,
Clint Capela,C,26,ATL,1142,0.593,0,0.303,26.6,5,1.3,6.6,9.7,,,,,,,,,,
Bam Adebayo,C,23,MIA,1346,0.632,0.014,0.447,15.6,27.3,1.3,3.6,15.3,,,,,,,,,,
Enes Kanter,C,28,POR,1208,0.637,0.003,0.297,23.6,7.2,1,2.5,11.1,,,,,,,,,,
LeBron James,PG,36,LAL,1388,0.605,0.352,0.316,13,40.7,1.5,1.5,15,,,,,,,,,,
Jarrett Allen,C,22,TOT,1262,0.676,0.036,0.655,19.3,8.9,0.8,5.2,13.3,,,,,,,,,,
Chris Paul,PG,35,PHO,1367,0.587,0.299,0.211,8.4,39.6,2.1,0.7,14.5,,,,,,,,,,
Kyrie Irving,PG,28,BRK,1104,0.624,0.341,0.199,7.6,27.2,1.6,1.4,9.6,,,,,,,,,,
DeMar DeRozan,PF,31,SAS,1219,0.592,0.114,0.466,6.9,32.6,1.5,0.7,9.2,,,,,,,,,,
Deandre Ayton,C,22,PHO,1341,0.641,0.037,0.249,20,7.4,0.6,3.3,12.7,,,,,,,,,,
Stephen Curry,PG,32,GSW,1316,0.64,0.565,0.27,8.3,32.7,1.9,0.2,12,,,,,,,,,,
Mitchell Robinson,C,22,NYK,853,0.642,0,0.301,15.8,3,2,5.2,11.5,,,,,,,,,,
Tobias Harris,PF,28,PHI,1401,0.608,0.24,0.226,12.2,17.2,1.3,2.1,10.1,,,,,,,,,,
Mike Conley,PG,33,UTA,1064,0.59,0.523,0.212,6.3,27.6,2.2,0.4,12.6,,,,,,,,,,
John Collins,PF,23,ATL,1381,0.632,0.257,0.248,14.1,7.3,0.9,3.1,7.8,,,,,,,,,,
Bobby Portis,C,25,MIL,903,0.614,0.276,0.103,17,7.2,1.7,1.7,8.1,,,,,,,,,,
Luka Doncic,PG,21,DAL,1373,0.592,0.381,0.35,12.9,46.1,1.4,1.7,15,,,,,,,,,,
Jonas Valanciunas,C,28,MEM,1044,0.597,0.084,0.301,24.3,9.8,1,2.4,12.4,,,,,,,,,,
Trae Young,PG,22,ATL,1481,0.59,0.38,0.509,6.4,45.4,1.1,0.6,16.2,,,,,,,,,,
Mikal Bridges,SF,24,PHO,1430,0.653,0.468,0.221,8.3,9.9,1.2,2.4,7.8,,,,,,,,,,
Richaun Holmes,C,27,SAC,1273,0.677,0.02,0.264,16.3,8.2,1.1,4.6,10.8,,,,,,,,,,
Donovan Mitchell,SG,24,UTA,1453,0.57,0.427,0.28,7.1,27.4,1.5,0.7,11.6,,,,,,,,,,
Thaddeus Young,PF,32,CHI,996,0.598,0.063,0.142,14.3,27.2,2.5,2.1,16.9,,,,,,,,,,
Shai Gilgeous-Alexander,SG,22,OKC,1180,0.623,0.301,0.405,7.4,31,1.1,1.7,13.7,,,,,,,,,,
Michael Porter Jr.,SF,22,DEN,1040,0.648,0.477,0.171,14,4.3,1.1,3.1,8,,,,,,,,,,
Jrue Holiday,PG,30,MIL,1063,0.58,0.361,0.142,7.4,22.6,2.6,1.4,11.9,,,,,,,,,,
Mason Plumlee,C,30,DET,1192,0.625,0.024,0.465,19.1,20.5,1.6,2.9,19.6,,,,,,,,,,
Khris Middleton,SF,29,MIL,1469,0.606,0.337,0.231,9.6,23.2,1.5,0.5,14.1,,,,,,,,,,
Zach LaVine,SG,25,CHI,1546,0.648,0.417,0.268,7.9,23,1.2,1.1,14.9,,,,,,,,,,
Paul George,SF,30,LAC,1205,0.607,0.445,0.224,10.5,25.7,1.7,1.2,14.6,,,,,,,,,,
Julius Randle,PF,26,NYK,1668,0.573,0.269,0.327,15.7,26.8,1.2,0.6,14,,,,,,,,,,
Brandon Clarke,PF,24,MEM,984,0.57,0.157,0.225,11.6,9.3,2,3,5.1,,,,,,,,,,
Ben Simmons,PG,24,PHI,1293,0.591,0.021,0.488,12.8,32.4,2.1,1.8,21.4,,,,,,,,,,
Paul Millsap,PF,35,DEN,828,0.603,0.398,0.279,12.2,10.1,2,2.7,9.9,,,,,,,,,,
DeAndre Jordan,C,32,BRK,998,0.739,0.005,0.332,18.4,10,0.7,4.9,23.2,,,,,,,,,,
Nerlens Noel,C,26,NYK,903,0.63,0.014,0.275,14.5,4.2,2.2,8.7,22.1,,,,,,,,,,
Nikola Vucevic,C,30,TOT,1532,0.566,0.316,0.12,17.9,21.6,1.3,1.7,7.9,,,,,,,,,,
Kristaps Porzingis,C,25,DAL,856,0.581,0.388,0.206,16,8.1,0.6,4.9,7,,,,,,,,,,
Domantas Sabonis,PF,24,IND,1589,0.591,0.179,0.399,17.5,25.8,1.5,1.3,16.6,,,,,,,,,,
Jakob Poeltl,C,25,SAS,1055,0.601,0,0.301,16.6,9.9,1.1,5.8,16.8,,,,,,,,,,
Nicolas Batum,SF,32,LAC,1264,0.635,0.677,0.165,9.3,10.7,2,1,9.9,,,,,,,,,,
Serge Ibaka,C,31,LAC,919,0.582,0.311,0.13,16,10.8,0.5,4.4,10.7,,,,,,,,,,
Karl-Anthony Towns,C,25,MIN,874,0.612,0.338,0.322,16.7,21.7,1.1,3.7,14.8,,,,,,,,,,
Kyle Anderson,PF,27,MEM,1116,0.581,0.383,0.254,11.2,17.5,2,2.3,11.1,,,,,,,,,,
Bradley Beal,SG,27,WAS,1454,0.6,0.287,0.354,7.5,24.3,1.6,0.9,11.3,,,,,,,,,,
Pat Connaughton,SG,28,MIL,952,0.605,0.678,0.113,10.8,7.6,1.5,1.6,7.6,,,,,,,,,,
Daniel Theis,C,28,BOS,1027,0.625,0.33,0.233,12,9.2,1.2,3.9,11.4,,,,,,,,,,
Delon Wright,SG,28,TOT,1075,0.559,0.303,0.313,8.7,25.9,2.7,1.6,12.7,,,,,,,,,,
Khem Birch,C,28,ORL,885,0.536,0.099,0.445,13.8,7.6,1.6,3,8.4,,,,,,,,,,
Brandon Ingram,SF,23,NOP,1546,0.592,0.347,0.276,8.1,21.1,0.9,2,10.6,,,,,,,,,,
Terry Rozier,SG,26,CHO,1389,0.619,0.524,0.207,6.2,16.9,1.9,1,10,,,,,,,,,,
Jamal Murray,PG,23,DEN,1526,0.593,0.398,0.193,6.3,20.7,1.8,0.7,11.2,,,,,,,,,,
Jalen Brunson,PG,24,DAL,1005,0.634,0.347,0.29,7.7,19.6,1,0,12.2,,,,,,,,,,
Alec Burks,SG,29,NYK,898,0.563,0.472,0.25,9.3,13,1.5,1.1,8.3,,,,,,,,,,
Kenrich Williams,PF,26,OKC,891,0.641,0.285,0.157,10.5,14.5,1.7,0.9,14.9,,,,,,,,,,
T.J. McConnell,PG,28,IND,1037,0.562,0.091,0.091,7.9,34.6,3.5,1.2,22.4,,,,,,,,,,
Myles Turner,C,24,IND,1268,0.596,0.475,0.326,11.7,4.7,1.4,9.7,11.3,,,,,,,,,,
Joe Harris,SF,29,BRK,1413,0.678,0.662,0.088,6.2,7.8,0.9,0.6,7.1,,,,,,,,,,
Royce O'Neale,SF,27,UTA,1447,0.621,0.724,0.126,11.1,10,1.3,1.3,16.8,,,,,,,,,,
Bruce Brown,PG,24,BRK,883,0.588,0.151,0.257,11.9,9.3,1.6,1.2,10.1,,,,,,,,,,
Jayson Tatum,SF,22,BOS,1421,0.558,0.355,0.221,10.6,20.4,1.8,1.3,9.8,,,,,,,,,,
Maxi Kleber,PF,29,DAL,895,0.656,0.763,0.175,10.7,6.2,0.8,2.8,8.6,,,,,,,,,,
Norman Powell,SG,27,TOT,1313,0.647,0.477,0.29,5.4,9.9,1.8,0.7,10.9,,,,,,,,,,
Kyle Lowry,PG,34,TOR,1324,0.591,0.535,0.26,8.8,32.3,1.4,0.8,16.7,,,,,,,,,,
Fred VanVleet,SG,26,TOR,1473,0.549,0.547,0.232,6.4,26.5,2.3,2,9.7,,,,,,,,,,
LaMelo Ball,PG,19,CHO,1174,0.562,0.411,0.234,11.2,33.3,2.7,1.2,16.5,,,,,,,,,,
Gordon Hayward,SF,30,CHO,1368,0.588,0.314,0.269,9.1,19.1,1.8,1,11.2,,,,,,,,,,
Damion Lee,SG,28,GSW,847,0.628,0.735,0.174,8.9,10,1.5,0.6,7.8,,,,,,,,,,
Jaylen Brown,SG,24,BOS,1462,0.582,0.348,0.235,9.2,18.6,1.7,1.4,11.7,,,,,,,,,,
Steven Adams,C,27,NOP,1180,0.614,0.013,0.411,17.9,9.1,1.5,2.3,18.8,,,,,,,,,,
Brook Lopez,C,32,MIL,1224,0.583,0.495,0.209,9.9,3.4,1.2,4.5,9.3,,,,,,,,,,
Seth Curry,SG,30,PHI,1030,0.601,0.473,0.181,4.1,13.7,1.4,0.7,11.7,,,,,,,,,,
Pascal Siakam,PF,26,TOR,1272,0.542,0.263,0.319,11.5,22,1.6,2,10.1,,,,,,,,,,
Doug McDermott,PF,29,IND,1076,0.621,0.445,0.15,8.5,8.4,0.5,0.3,7.4,,,,,,,,,,
Cameron Johnson,PF,24,PHO,894,0.593,0.675,0.121,7.9,7.9,1.3,1.3,7.8,,,,,,,,,,
Reggie Jackson,SG,30,LAC,927,0.576,0.468,0.165,7,19.2,1.3,0.3,11.4,,,,,,,,,,
Jae'Sean Tate,SF,25,HOU,1284,0.588,0.291,0.237,10.1,9.9,1.9,1.9,11.6,,,,,,,,,,
Robin Lopez,C,32,WAS,884,0.631,0.061,0.388,10.8,6.2,0.7,2.6,13.8,,,,,,,,,,
Malcolm Brogdon,PG,28,IND,1485,0.567,0.371,0.159,7.4,26.2,1.5,0.6,10.5,,,,,,,,,,
Tyrese Haliburton,PG,20,SAC,1205,0.612,0.507,0.092,6.1,22.3,2,1.6,12.6,,,,,,,,,,
Marcus Smart,PG,26,BOS,858,0.542,0.544,0.331,5.2,23.2,2.3,1.4,12.3,,,,,,,,,,
Naz Reid,C,21,MIN,854,0.594,0.289,0.281,12.5,10,1.5,4.8,10.4,,,,,,,,,,
Jordan Clarkson,SG,28,UTA,1158,0.555,0.579,0.115,8.1,13.9,1.6,0.5,10.1,,,,,,,,,,
