Player,RWAR
Nikola Jokic,10.5
Joel Embiid,6.5
Kawhi Leonard,7.3
Mike Conley,5.8
Paul George,6.5
Jimmy Butler,5.3
Clint Capela,5.7
Luka Doncic,6.8
Giannis Antetokounmpo,6.8
Rudy Gobert,6.6
Fred VanVleet,6.9
Stephen Curry,6.3
LeBron James,6.3
Anthony Davis,3.2
Kevin Durant,2.8
James Harden,5.9
Christian Wood,2.8
Garrison Mathews,2.7
Jakob Poeltl,4
Julius Randle,6.4
Montrezl Harrell,4.2
Kemba Walker,2.9
Thaddeus Young,3.5
CJ McCollum,2.2
Jamal Murray,5.2
Joe Ingles,3.7
Jordan Clarkson,3.8
Bobby Portis,2.9
David Nwaba,2.2
Jrue Holiday,3.3
Kyrie Irving,3.5
Cameron Johnson,2.8
Damian Lillard,5
Myles Turner,4
John Collins,4.2
Draymond Green,3.6
Jayson Tatum,4.3
Rudy Gay,2.4
Tobias Harris,4.3
Delon Wright,3.2
OG Anunoby,2.7
Bradley Beal,4.4
Isaiah Stewart,2.4
Devin Booker,4
Alex Caruso,2.1
Chris Paul,4
Donte DiVincenzo,3.5
Matisse Thybulle,2.4
Nicolas Batum,3.6
Joe Harris,4
Donovan Mitchell,4.2
Terry Rozier,4
Trae Young,4.2
Robert Covington,3.8
Lonzo Ball,3.2
Jae Crowder,3
Al Horford,2.1
Bam Adebayo,3.5
Chris Boucher,2.7
Mikal Bridges,3.8
Patty Mills,2.8
Richaun Holmes,3.3
Zach LaVine,4.1
Alec Burks,2.3
Karl-Anthony Towns,2.2
Jaylen Brown,3.7
Chuma Okeke,1.6
Zion Williamson,3.6
Kyle Anderson,2.7
Devonte' Graham,2.4
T.J. McConnell,2.5
Ben Simmons,3.2
Jarrett Allen,3
Harrison Barnes,3.7
Royce O'Neale,3.4
Kenrich Williams,2.1
Mike Muscala,1.5
Daniel Theis,2.4
Andre Drummond,1.7
Marcus Smart,2
Garrett Temple,2.3
Shai Gilgeous-Alexander,2.6
Danny Green,2.9
Justin Holiday,3.1
Serge Ibaka,2
Khris Middleton,3.3
Patrick Beverley,1.5
Pat Connaughton,2.1
Aaron Gordon,1.6
Tim Hardaway Jr.,2.6
Derrick Jones Jr.,2.2
Michael Porter Jr.,2.1
Victor Oladipo,1.9
Brandon Ingram,2.9
Raul Neto,1.5
Jonas Valanciunas,2
Kent Bazemore,1.4
Marc Gasol,1.4
Malcolm Brogdon,2.6
Brandon Clarke,1.8
Furkan Korkmaz,1.2
Kyle Lowry,2.5
DeMar DeRozan,2.1
De'Aaron Fox,2.8
Larry Nance Jr.,1.7
Grayson Allen,1.3
Facundo Campazzo,1.2
Luguentz Dort,2
Derrick Favors,1.2
Blake Griffin,1.2
Josh Hart,2.2
Maxi Kleber,1.5
Tomas Satoransky,1.3
Ivica Zubac,1.7
Damion Lee,1.4
Davis Bertans,1.4
Evan Fournier,1.3
Jerami Grant,2.4
Enes Kanter,1.9
Brook Lopez,2
Monte Morris,1.6
Immanuel Quickley,1.3
LaMelo Ball,1.9
Danilo Gallinari,1.2
Dejounte Murray,2
Dennis Schroder,2.1
Gordon Hayward,2.1
Talen Horton-Tucker,1.2
Paul Millsap,1.3
Shake Milton,1.4
Malik Monk,1
Kristaps Porzingis,1.3
Pascal Siakam,1.9
Jae'Sean Tate,1.9
Nikola Vucevic,2.3
Robert Williams III,1
Steven Adams,1.7
Deandre Ayton,1.9
Jalen Brunson,1.5
Jarred Vanderbilt,1.1
Khem Birch,1.2
Hamidou Diallo,1.1
Norman Powell,1.9
Mitchell Robinson,1.2
RJ Barrett,2.1
Marcus Morris Sr.,1.2
Malik Beasley,1.4
Denzel Valentine,0.9
Bruce Brown,1.1
Dorian Finney-Smith,1.2
Tyrese Haliburton,1.4
Andre Iguodala,1.1
Naz Reid,1
Nickeil Alexander-Walker,0.8
Dillon Brooks,1.3
Josh Jackson,1.1
Nerlens Noel,1
Kendrick Nunn,1.2
Terance Mann,0.8
Josh Okogie,0.8
Trey Burke,0.6
Wayne Ellington,0.8
JaMychal Green,0.6
Tyus Jones,0.8
D.J. Augustin,0.7
Tony Snell,0.6
Buddy Hield,1.4
Svi Mykhailiuk,0.6
Miles Bridges,0.9
Reggie Bullock,0.8
Dwight Howard,0.6
Tyler Herro'20-'21,0.8
Doug McDermott,0.8
Josh Richardson,0.8
Kelly Olynyk,0.7
Ricky Rubio,0.7
Seth Curry,0.6
Semi Ojeleye,0.5
P.J. Washington,0.7
Ja Morant,0.6
Goran Dragic,0.4
Wesley Matthews,0.4
Domantas Sabonis,0.8
Payton Pritchard,0.3
Gary Trent Jr.,0.6
Andrew Wiggins,0.6
Sterling Brown,0.4
Terrence Ross,0.4
Kevin Huerter,0.5
Cedi Osman,0.4
Lou Williams,0.3
Will Barton,0.4
Duncan Robinson,0.4
Carmelo Anthony,0.3
Kentavious Caldwell-Pope,0.2
Reggie Jackson,0.2
Robin Lopez,0.2
Mason Plumlee,0.3
Landry Shamet,0.2
Kelly Oubre Jr.,0.3
Bojan Bogdanovic,0.1
Luke Kennard,0
Deni Avdija,0
Desmond Bane,0
Lauri Markkanen,0
Elfrid Payton,0
Coby White,0
Wendell Carter Jr.,0
Timothe Luwawu-Cabarrot,0
Collin Sexton,-0.1
Michael Carter-Williams,-0.1
Eric Gordon,-0.1
Cam Reddish,-0.2
Keldon Johnson,-0.3
Tristan Thompson,-0.2
